2023-06-26 15:23:24.653 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：354 开始, 记录到数据库
2023-06-26 15:23:24.661 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/render
2023-06-26 15:23:24.680 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/render
2023-06-26 15:23:24.680 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-log4j.properties
2023-06-26 15:23:24.681 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/httpfs-log4j.properties
2023-06-26 15:23:24.681 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: journalnode-bootstrap.sh.ftl
2023-06-26 15:23:24.682 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/journalnode-bootstrap.sh
2023-06-26 15:23:24.683 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: datanode-bootstrap.sh.ftl
2023-06-26 15:23:24.684 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/datanode-bootstrap.sh
2023-06-26 15:23:24.684 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-site.xml.ftl
2023-06-26 15:23:24.686 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/httpfs-site.xml
2023-06-26 15:23:24.687 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: namenode-format.sh.ftl
2023-06-26 15:23:24.688 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/namenode-format.sh
2023-06-26 15:23:24.689 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-bootstrap.sh.ftl
2023-06-26 15:23:24.690 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/httpfs-bootstrap.sh
2023-06-26 15:23:24.690 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: jmx_prometheus.yaml
