2023-06-26 15:26:21.274 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - command task：372 开始, 记录到数据库
2023-06-26 15:26:21.281 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 目录/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2不存在，创建目录...
2023-06-26 15:26:21.282 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 开始生成prometheus采集的配置文件....
2023-06-26 15:26:21.297 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 加载prometheus模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/prometheus
2023-06-26 15:26:21.299 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 完成prometheus配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2/journalnode.json
2023-06-26 15:26:21.299 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 加载prometheus模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/prometheus
2023-06-26 15:26:21.300 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 完成prometheus配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2/datanode.json
2023-06-26 15:26:21.300 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 加载prometheus模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/prometheus
2023-06-26 15:26:21.302 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 完成prometheus配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2/zkfc.json
2023-06-26 15:26:21.302 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 加载prometheus模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/prometheus
2023-06-26 15:26:21.304 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 完成prometheus配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2/namenode.json
2023-06-26 15:26:21.304 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 上传prometheus采集的配置文件到prometheus配置目录....
2023-06-26 15:26:21.307 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2 到节点k8s-worker-node1的：/opt/edp/monitor1/conf/discovery_configs/
2023-06-26 15:26:21.441 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 成功拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/hdfs2 到节点k8s-worker-node1的：/opt/edp/monitor1/conf/discovery_configs/
2023-06-26 15:26:21.441 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - command task：372 结束, 记录到数据库
2023-06-26 15:26:21.444 [ForkJoinPool.commonPool-worker-6] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - close sifting Appender of `18-372`
