2023-06-25 23:06:42.881 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：66 开始, 记录到数据库
2023-06-25 23:06:43.040 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.069 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:43.103 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.103 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.110 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:43.138 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.138 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.145 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:43.209 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.209 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：66 结束, 记录到数据库
2023-06-25 23:06:43.213 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-66`
